score,title,company,location,countries,posted,url,source,department,contract_type,matched,first_seen,flags
51,3rd Party Developer Hub Manager,ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-14,https://jobs.adnoc.ae/us/en/job/AGLAGPAE32110EXTERNALENUS/3rd-party-developer-hub-manager,adnoc,"Projects, Engineering & Operations",External,"United Arab Emirates, manager",2026-08-21 09:38:29,
51,Senior QA/ QC Engineer - Mechanical,NES Fircroft,United Arab Emirates Dubai,United Arab Emirates,2026-08-13,https://www.nesfircroft.com/job/senior-qa-qc-engineer---mechanical/,nesfircroft,Oil & Gas,Permanent,"United Arab Emirates, mechanical, engineer",2026-08-21 09:03:53,
51,QC Engineer (E&I),NES Fircroft,United Arab Emirates Dubai,United Arab Emirates,2026-08-13,https://www.nesfircroft.com/job/qc-engineer-ei/,nesfircroft,Oil & Gas,Permanent,"United Arab Emirates, electrical, engineer",2026-08-21 09:03:53,
51,Joint Force Operations Planner,KBR,"Alexandria, Virginia, United States of America",Egypt,2026-08-11,https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Alexandria-Virginia/Joint-Force-Operations-Planner_R2128082/apply,kbr,Logistics & Government Services,Full time,"Egypt, operations, planner",2026-08-21 09:42:17,
51,"Supervisor, Operations Services (P&A)",ADNOC,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-08-10,https://jobs.adnoc.ae/us/en/job/AGLAGPAE32518EXTERNALENUS/supervisor-operations-services-p-a,adnoc,"Projects, Engineering & Operations",External,"United Arab Emirates, operations, supervisor",2026-08-21 09:38:29,
51,Electrical Engineering_MB30,NES Fircroft,Saudi Arabia Saudi Arabia,Saudi Arabia,2026-08-10,https://www.nesfircroft.com/job/electrical-engineering_mb30/,nesfircroft,Oil & Gas,Contract,"Saudi Arabia, electrical, engineer",2026-08-22 05:07:12,
51,"Principal Specialist, Recycling Operations",NES Fircroft,Saudi Arabia Riyadh,Saudi Arabia,2026-08-10,https://www.nesfircroft.com/job/principal-specialist-recycling-operations/,nesfircroft,Manufacturing,Contract,"Saudi Arabia, mechanical, operations",2026-08-22 05:07:12,
51,Manager Maintenance Recycling,NES Fircroft,Saudi Arabia Saudi Arabia,Saudi Arabia,2026-08-10,https://www.nesfircroft.com/job/manager-maintenance-recycling/,nesfircroft,Manufacturing,Contract,"Saudi Arabia, maintenance, manager",2026-08-22 05:07:12,
51,Lifting Supervisor,NES Fircroft,Iraq Baghdad,Iraq,2026-08-07,https://www.nesfircroft.com/job/lifting-supervisor-30950/,nesfircroft,Oil & Gas,Contract,"Iraq, operations, supervisor",2026-08-22 05:07:12,
51,HSE Officer,NES Fircroft,United Arab Emirates Fujairah,United Arab Emirates,2026-08-07,https://www.nesfircroft.com/job/hse-officer-30959/,nesfircroft,Oil & Gas,Permanent,"United Arab Emirates, hse, project",2026-08-22 05:07:12,
